Frame,Prediction,Confidence,FPS
411,crocodile,0.767,3.15
412,crocodile,0.7619,2.72
413,crocodile,0.7756,2.62
414,crocodile,0.7598,2.65
415,crocodile,0.7405,3.11
416,crocodile,0.7135,3.07
417,crocodile,0.6956,3.07
418,crocodile,0.7323,2.94
419,crocodile,0.7423,2.93
420,crocodile,0.7149,2.33
421,crocodile,0.7398,2.28
422,crocodile,0.7416,2.29
423,crocodile,0.7847,2.4
424,crocodile,0.7835,2.5
425,crocodile,0.8082,2.51
426,crocodile,0.8123,2.66
427,crocodile,0.8125,2.65
428,crocodile,0.8097,2.68
429,crocodile,0.7973,2.68
430,crocodile,0.7721,2.69
431,crocodile,0.7344,2.42
432,crocodile,0.6368,2.67
433,crocodile,0.6709,2.69
434,crocodile,0.6021,2.67
435,crocodile,0.5792,2.62
436,crocodile,0.6206,2.66
437,crocodile,0.5987,2.68
438,crocodile,0.7064,2.5
439,crocodile,0.7349,2.05
440,crocodile,0.7269,3.26
441,crocodile,0.757,3.24
442,crocodile,0.7121,3.27
443,crocodile,0.6696,3.4
444,crocodile,0.5993,3.29
445,crocodile,0.5375,2.44
446,crocodile,0.6058,3.02
447,crocodile,0.53,2.95
448,crocodile,0.6298,3.0
449,crocodile,0.6959,2.92
450,crocodile,0.6666,2.83
451,crocodile,0.6561,2.53
452,crocodile,0.6652,2.6
453,crocodile,0.7136,2.68
454,crocodile,0.7022,2.68
455,crocodile,0.6996,2.72
456,crocodile,0.6535,2.71
457,crocodile,0.6514,2.65
458,crocodile,0.612,2.66
459,non-crocodile,0.505,2.58
460,non-crocodile,0.5201,2.67
461,non-crocodile,0.5704,2.67
462,non-crocodile,0.6322,2.64
463,non-crocodile,0.6405,2.41
464,non-crocodile,0.6239,2.69
465,non-crocodile,0.6578,2.65
466,non-crocodile,0.647,2.66
467,non-crocodile,0.6768,2.13
468,non-crocodile,0.62,2.74
469,non-crocodile,0.5969,2.72
470,non-crocodile,0.6175,2.69
471,non-crocodile,0.5853,2.7
472,non-crocodile,0.5582,2.55
473,non-crocodile,0.5582,2.62
474,non-crocodile,0.5384,2.67
475,non-crocodile,0.6055,2.7
476,non-crocodile,0.7017,2.7
477,non-crocodile,0.7274,2.73
478,non-crocodile,0.7008,2.39
479,non-crocodile,0.6839,2.15
480,non-crocodile,0.6516,2.71
481,non-crocodile,0.5735,2.39
482,non-crocodile,0.5998,2.66
483,non-crocodile,0.6269,2.67
484,non-crocodile,0.647,2.69
485,non-crocodile,0.6119,2.54
486,non-crocodile,0.6088,2.69
487,non-crocodile,0.6209,2.68
488,non-crocodile,0.6264,2.66
489,non-crocodile,0.6152,2.69
490,non-crocodile,0.5718,2.69
491,non-crocodile,0.6271,2.72
492,non-crocodile,0.6481,2.67
493,non-crocodile,0.582,2.46
494,non-crocodile,0.5965,2.68
495,non-crocodile,0.5939,2.13
496,non-crocodile,0.5364,2.13
497,non-crocodile,0.5328,3.29
498,non-crocodile,0.5162,2.96
499,non-crocodile,0.535,2.64
500,non-crocodile,0.5611,2.63
501,non-crocodile,0.503,2.62
502,non-crocodile,0.5234,3.14
503,crocodile,0.5296,3.03
504,crocodile,0.5328,3.03
505,non-crocodile,0.5005,2.85
506,non-crocodile,0.5877,2.58
507,non-crocodile,0.5682,2.64
508,non-crocodile,0.5521,2.49
509,crocodile,0.5572,2.47
510,crocodile,0.5343,2.43
511,crocodile,0.5314,2.56
512,non-crocodile,0.5352,2.6
513,non-crocodile,0.5337,2.64
514,non-crocodile,0.6163,2.12
515,non-crocodile,0.6166,3.26
516,non-crocodile,0.5938,3.1
517,non-crocodile,0.5873,2.68
518,non-crocodile,0.5364,2.59
519,non-crocodile,0.5768,2.65
520,non-crocodile,0.5798,2.64
521,non-crocodile,0.534,3.03
522,non-crocodile,0.5991,2.5
523,non-crocodile,0.5887,2.45
524,non-crocodile,0.5331,2.88
525,crocodile,0.5237,2.91
526,crocodile,0.6275,2.85
527,non-crocodile,0.5732,2.52
528,non-crocodile,0.5341,2.59
529,non-crocodile,0.6525,2.66
530,non-crocodile,0.6896,2.65
531,non-crocodile,0.9027,2.67
532,non-crocodile,0.9567,2.71
533,non-crocodile,0.8891,2.66
534,non-crocodile,0.7937,2.59
535,non-crocodile,0.7018,2.65
536,non-crocodile,0.7106,2.63
537,non-crocodile,0.618,2.38
538,non-crocodile,0.5409,2.13
539,crocodile,0.5078,3.31
540,crocodile,0.5283,3.01
541,crocodile,0.5668,3.23
542,crocodile,0.588,3.35
543,crocodile,0.6114,3.01
544,crocodile,0.5762,2.34
545,crocodile,0.5838,2.18
546,crocodile,0.835,2.11
547,crocodile,0.8244,2.67
548,crocodile,0.8267,2.69
549,crocodile,0.8331,2.61
550,crocodile,0.8228,2.76
551,crocodile,0.8205,2.55
552,crocodile,0.8099,2.74
553,crocodile,0.8133,2.63
554,crocodile,0.8142,2.73
555,crocodile,0.8143,2.67
556,crocodile,0.8097,2.71
557,crocodile,0.8164,2.69
558,crocodile,0.8224,2.67
559,crocodile,0.8234,2.65
560,crocodile,0.8223,2.73
